run_time,lead,valid_time,Region,cell_id,Latitude,Longitude,rain
2024-08-17T04:00:00,17,17-08 21,Dover,Cell_1,40.87000000000009,-74.58999999999995,0.0007874008238784911
2024-08-17T04:00:00,17,17-08 21,Dover,Cell_2,40.87000000000009,-74.55999999999995,0.0011811059290968528
2024-08-17T04:00:00,17,17-08 21,Dover,Cell_3,40.87000000000009,-74.52999999999994,0.0007874008238784911
2024-08-17T04:00:00,17,17-08 21,Dover,Cell_4,40.90000000000009,-74.58999999999995,0.00039370041193924555
2024-08-17T04:00:00,17,17-08 21,Dover,Cell_5,40.90000000000009,-74.55999999999995,0.0011811012358177366
2024-08-17T04:00:00,17,17-08 21,Dover,Cell_6,40.90000000000009,-74.52999999999994,0.0007874008238784911
2024-08-17T04:00:00,18,17-08 22,Dover,Cell_1,40.87000000000009,-74.58999999999995,0.002362202471635473
2024-08-17T04:00:00,18,17-08 22,Dover,Cell_2,40.87000000000009,-74.55999999999995,0.0027559028835747188
2024-08-17T04:00:00,18,17-08 22,Dover,Cell_3,40.87000000000009,-74.52999999999994,0.0015748110343152145
2024-08-17T04:00:00,18,17-08 22,Dover,Cell_4,40.90000000000009,-74.58999999999995,0.002755907576853835
2024-08-17T04:00:00,18,17-08 22,Dover,Cell_5,40.90000000000009,-74.55999999999995,0.0019685020596962276
2024-08-17T04:00:00,18,17-08 22,Dover,Cell_6,40.90000000000009,-74.52999999999994,0.0011811012358177366
2024-08-17T04:00:00,1,17-08 05,Englewood,Cell_1,40.87000000000009,-73.98999999999992,0.0
2024-08-17T04:00:00,1,17-08 05,Englewood,Cell_2,40.87000000000009,-73.95999999999992,0.0
2024-08-17T04:00:00,1,17-08 05,Englewood,Cell_3,40.90000000000009,-73.98999999999992,0.0
2024-08-17T04:00:00,1,17-08 05,Englewood,Cell_4,40.90000000000009,-73.95999999999992,0.0
2024-08-17T04:00:00,2,17-08 06,Englewood,Cell_1,40.87000000000009,-73.98999999999992,0.0
2024-08-17T04:00:00,2,17-08 06,Englewood,Cell_2,40.87000000000009,-73.95999999999992,0.0
2024-08-17T04:00:00,2,17-08 06,Englewood,Cell_3,40.90000000000009,-73.98999999999992,0.0
2024-08-17T04:00:00,2,17-08 06,Englewood,Cell_4,40.90000000000009,-73.95999999999992,0.0
2024-08-17T04:00:00,3,17-08 07,Englewood,Cell_1,40.87000000000009,-73.98999999999992,0.0
2024-08-17T04:00:00,3,17-08 07,Englewood,Cell_2,40.87000000000009,-73.95999999999992,0.0
2024-08-17T04:00:00,3,17-08 07,Englewood,Cell_3,40.90000000000009,-73.98999999999992,0.0
2024-08-17T04:00:00,3,17-08 07,Englewood,Cell_4,40.90000000000009,-73.95999999999992,0.0
2024-08-17T04:00:00,4,17-08 08,Englewood,Cell_1,40.87000000000009,-73.98999999999992,0.0
2024-08-17T04:00:00,4,17-08 08,Englewood,Cell_2,40.87000000000009,-73.95999999999992,0.0
2024-08-17T04:00:00,4,17-08 08,Englewood,Cell_3,40.90000000000009,-73.98999999999992,0.0
2024-08-17T04:00:00,4,17-08 08,Englewood,Cell_4,40.90000000000009,-73.95999999999992,0.0
2024-08-17T04:00:00,5,17-08 09,Englewood,Cell_1,40.87000000000009,-73.98999999999992,0.0003937007786016765
2024-08-17T04:00:00,5,17-08 09,Englewood,Cell_2,40.87000000000009,-73.95999999999992,0.0003937007786016765
2024-08-17T04:00:00,5,17-08 09,Englewood,Cell_3,40.90000000000009,-73.98999999999992,0.0
2024-08-17T04:00:00,5,17-08 09,Englewood,Cell_4,40.90000000000009,-73.95999999999992,0.0
2024-08-17T04:00:00,6,17-08 10,Englewood,Cell_1,40.87000000000009,-73.98999999999992,0.0
2024-08-17T04:00:00,6,17-08 10,Englewood,Cell_2,40.87000000000009,-73.95999999999992,0.0
2024-08-17T04:00:00,6,17-08 10,Englewood,Cell_3,40.90000000000009,-73.98999999999992,0.0
2024-08-17T04:00:00,6,17-08 10,Englewood,Cell_4,40.90000000000009,-73.95999999999992,0.0
2024-08-17T04:00:00,7,17-08 11,Englewood,Cell_1,40.87000000000009,-73.98999999999992,0.0
2024-08-17T04:00:00,7,17-08 11,Englewood,Cell_2,40.87000000000009,-73.95999999999992,0.0
2024-08-17T04:00:00,7,17-08 11,Englewood,Cell_3,40.90000000000009,-73.98999999999992,0.0
2024-08-17T04:00:00,7,17-08 11,Englewood,Cell_4,40.90000000000009,-73.95999999999992,0.0
2024-08-17T04:00:00,8,17-08 12,Englewood,Cell_1,40.87000000000009,-73.98999999999992,0.0
2024-08-17T04:00:00,8,17-08 12,Englewood,Cell_2,40.87000000000009,-73.95999999999992,0.0
2024-08-17T04:00:00,8,17-08 12,Englewood,Cell_3,40.90000000000009,-73.98999999999992,0.0
2024-08-17T04:00:00,8,17-08 12,Englewood,Cell_4,40.90000000000009,-73.95999999999992,0.0
2024-08-17T04:00:00,9,17-08 13,Englewood,Cell_1,40.87000000000009,-73.98999999999992,0.0
2024-08-17T04:00:00,9,17-08 13,Englewood,Cell_2,40.87000000000009,-73.95999999999992,0.0
2024-08-17T04:00:00,9,17-08 13,Englewood,Cell_3,40.90000000000009,-73.98999999999992,0.0
2024-08-17T04:00:00,9,17-08 13,Englewood,Cell_4,40.90000000000009,-73.95999999999992,0.0
2024-08-17T04:00:00,10,17-08 14,Englewood,Cell_1,40.87000000000009,-73.98999999999992,0.0
2024-08-17T04:00:00,10,17-08 14,Englewood,Cell_2,40.87000000000009,-73.95999999999992,0.0
2024-08-17T04:00:00,10,17-08 14,Englewood,Cell_3,40.90000000000009,-73.98999999999992,0.0003937007786016765
2024-08-17T04:00:00,10,17-08 14,Englewood,Cell_4,40.90000000000009,-73.95999999999992,0.0003937007786016765
2024-08-17T04:00:00,11,17-08 15,Englewood,Cell_1,40.87000000000009,-73.98999999999992,0.0003937007786016765
2024-08-17T04:00:00,11,17-08 15,Englewood,Cell_2,40.87000000000009,-73.95999999999992,0.0003937007786016765
2024-08-17T04:00:00,11,17-08 15,Englewood,Cell_3,40.90000000000009,-73.98999999999992,0.0011811023358050295
2024-08-17T04:00:00,11,17-08 15,Englewood,Cell_4,40.90000000000009,-73.95999999999992,0.000787401557203353
2024-08-17T04:00:00,12,17-08 16,Englewood,Cell_1,40.87000000000009,-73.98999999999992,0.0011811024091375156
2024-08-17T04:00:00,12,17-08 16,Englewood,Cell_2,40.87000000000009,-73.95999999999992,0.0011811024091375156
2024-08-17T04:00:00,12,17-08 16,Englewood,Cell_3,40.90000000000009,-73.98999999999992,0.000787401557203353
2024-08-17T04:00:00,12,17-08 16,Englewood,Cell_4,40.90000000000009,-73.95999999999992,0.0007874016305358391
2024-08-17T04:00:00,13,17-08 17,Englewood,Cell_1,40.87000000000009,-73.98999999999992,0.0015748032610716782
2024-08-17T04:00:00,13,17-08 17,Englewood,Cell_2,40.87000000000009,-73.95999999999992,0.0015748032610716782
2024-08-17T04:00:00,13,17-08 17,Englewood,Cell_3,40.90000000000009,-73.98999999999992,0.000787401557203353
2024-08-17T04:00:00,13,17-08 17,Englewood,Cell_4,40.90000000000009,-73.95999999999992,0.0003937007052691903
2024-08-17T04:00:00,14,17-08 18,Englewood,Cell_1,40.87000000000009,-73.98999999999992,0.003937007639351792
2024-08-17T04:00:00,14,17-08 18,Englewood,Cell_2,40.87000000000009,-73.95999999999992,0.003937007639351792
2024-08-17T04:00:00,14,17-08 18,Englewood,Cell_3,40.90000000000009,-73.98999999999992,0.001968503819675896
2024-08-17T04:00:00,14,17-08 18,Englewood,Cell_4,40.90000000000009,-73.95999999999992,0.003149606375478384
2024-08-17T04:00:00,15,17-08 19,Englewood,Cell_1,40.87000000000009,-73.98999999999992,0.0
2024-08-17T04:00:00,15,17-08 19,Englewood,Cell_2,40.87000000000009,-73.95999999999992,0.0
2024-08-17T04:00:00,15,17-08 19,Englewood,Cell_3,40.90000000000009,-73.98999999999992,0.0
2024-08-17T04:00:00,15,17-08 19,Englewood,Cell_4,40.90000000000009,-73.95999999999992,0.0
2024-08-17T04:00:00,16,17-08 20,Englewood,Cell_1,40.87000000000009,-73.98999999999992,0.00039370099859913505
2024-08-17T04:00:00,16,17-08 20,Englewood,Cell_2,40.87000000000009,-73.95999999999992,0.00039370099859913505
2024-08-17T04:00:00,16,17-08 20,Englewood,Cell_3,40.90000000000009,-73.98999999999992,0.00039370099859913505
2024-08-17T04:00:00,16,17-08 20,Englewood,Cell_4,40.90000000000009,-73.95999999999992,0.0
2024-08-17T04:00:00,17,17-08 21,Englewood,Cell_1,40.87000000000009,-73.98999999999992,0.0011811024091375156
2024-08-17T04:00:00,17,17-08 21,Englewood,Cell_2,40.87000000000009,-73.95999999999992,0.0011811024091375156
2024-08-17T04:00:00,17,17-08 21,Englewood,Cell_3,40.90000000000009,-73.98999999999992,0.009448818686440236
2024-08-17T04:00:00,17,17-08 21,Englewood,Cell_4,40.90000000000009,-73.95999999999992,0.003149606228813412
2024-08-17T04:00:00,18,17-08 22,Englewood,Cell_1,40.87000000000009,-73.98999999999992,0.00039370041193924555
2024-08-17T04:00:00,18,17-08 22,Englewood,Cell_2,40.87000000000009,-73.95999999999992,0.00039370041193924555
2024-08-17T04:00:00,18,17-08 22,Englewood,Cell_3,40.90000000000009,-73.98999999999992,0.00039370041193924555
2024-08-17T04:00:00,18,17-08 22,Englewood,Cell_4,40.90000000000009,-73.95999999999992,0.0007874014105383806
2024-08-17T04:00:00,1,17-08 05,Irvington,Cell_1,40.720000000000084,-74.25999999999993,0.0
2024-08-17T04:00:00,1,17-08 05,Irvington,Cell_2,40.720000000000084,-74.22999999999993,0.0
2024-08-17T04:00:00,1,17-08 05,Irvington,Cell_3,40.720000000000084,-74.19999999999993,0.0
2024-08-17T04:00:00,1,17-08 05,Irvington,Cell_4,40.750000000000085,-74.22999999999993,0.0
2024-08-17T04:00:00,1,17-08 05,Irvington,Cell_5,40.750000000000085,-74.19999999999993,0.0
2024-08-17T04:00:00,2,17-08 06,Irvington,Cell_1,40.720000000000084,-74.25999999999993,0.000787401557203353
2024-08-17T04:00:00,2,17-08 06,Irvington,Cell_2,40.720000000000084,-74.22999999999993,0.0003937007786016765
2024-08-17T04:00:00,2,17-08 06,Irvington,Cell_3,40.720000000000084,-74.19999999999993,0.0003937007786016765
2024-08-17T04:00:00,2,17-08 06,Irvington,Cell_4,40.750000000000085,-74.22999999999993,0.0
2024-08-17T04:00:00,2,17-08 06,Irvington,Cell_5,40.750000000000085,-74.19999999999993,0.0
2024-08-17T04:00:00,3,17-08 07,Irvington,Cell_1,40.720000000000084,-74.25999999999993,0.000787401557203353
2024-08-17T04:00:00,3,17-08 07,Irvington,Cell_2,40.720000000000084,-74.22999999999993,0.000787401557203353
2024-08-17T04:00:00,3,17-08 07,Irvington,Cell_3,40.720000000000084,-74.19999999999993,0.000787401557203353
2024-08-17T04:00:00,3,17-08 07,Irvington,Cell_4,40.750000000000085,-74.22999999999993,0.000787401557203353
2024-08-17T04:00:00,3,17-08 07,Irvington,Cell_5,40.750000000000085,-74.19999999999993,0.000787401557203353
2024-08-17T04:00:00,4,17-08 08,Irvington,Cell_1,40.720000000000084,-74.25999999999993,0.0
2024-08-17T04:00:00,4,17-08 08,Irvington,Cell_2,40.720000000000084,-74.22999999999993,0.0
2024-08-17T04:00:00,4,17-08 08,Irvington,Cell_3,40.720000000000084,-74.19999999999993,0.0
2024-08-17T04:00:00,4,17-08 08,Irvington,Cell_4,40.750000000000085,-74.22999999999993,0.0
2024-08-17T04:00:00,4,17-08 08,Irvington,Cell_5,40.750000000000085,-74.19999999999993,0.0
2024-08-17T04:00:00,5,17-08 09,Irvington,Cell_1,40.720000000000084,-74.25999999999993,0.0
2024-08-17T04:00:00,5,17-08 09,Irvington,Cell_2,40.720000000000084,-74.22999999999993,0.0
2024-08-17T04:00:00,5,17-08 09,Irvington,Cell_3,40.720000000000084,-74.19999999999993,0.0
2024-08-17T04:00:00,5,17-08 09,Irvington,Cell_4,40.750000000000085,-74.22999999999993,0.0
2024-08-17T04:00:00,5,17-08 09,Irvington,Cell_5,40.750000000000085,-74.19999999999993,0.0
2024-08-17T04:00:00,6,17-08 10,Irvington,Cell_1,40.720000000000084,-74.25999999999993,0.0
2024-08-17T04:00:00,6,17-08 10,Irvington,Cell_2,40.720000000000084,-74.22999999999993,0.0
2024-08-17T04:00:00,6,17-08 10,Irvington,Cell_3,40.720000000000084,-74.19999999999993,0.0
2024-08-17T04:00:00,6,17-08 10,Irvington,Cell_4,40.750000000000085,-74.22999999999993,0.0
2024-08-17T04:00:00,6,17-08 10,Irvington,Cell_5,40.750000000000085,-74.19999999999993,0.0
2024-08-17T04:00:00,7,17-08 11,Irvington,Cell_1,40.720000000000084,-74.25999999999993,0.0
2024-08-17T04:00:00,7,17-08 11,Irvington,Cell_2,40.720000000000084,-74.22999999999993,0.0
2024-08-17T04:00:00,7,17-08 11,Irvington,Cell_3,40.720000000000084,-74.19999999999993,0.0
2024-08-17T04:00:00,7,17-08 11,Irvington,Cell_4,40.750000000000085,-74.22999999999993,0.0
2024-08-17T04:00:00,7,17-08 11,Irvington,Cell_5,40.750000000000085,-74.19999999999993,0.0
2024-08-17T04:00:00,8,17-08 12,Irvington,Cell_1,40.720000000000084,-74.25999999999993,0.0
2024-08-17T04:00:00,8,17-08 12,Irvington,Cell_2,40.720000000000084,-74.22999999999993,0.0
2024-08-17T04:00:00,8,17-08 12,Irvington,Cell_3,40.720000000000084,-74.19999999999993,0.0
2024-08-17T04:00:00,8,17-08 12,Irvington,Cell_4,40.750000000000085,-74.22999999999993,0.0
2024-08-17T04:00:00,8,17-08 12,Irvington,Cell_5,40.750000000000085,-74.19999999999993,0.0
2024-08-17T04:00:00,9,17-08 13,Irvington,Cell_1,40.720000000000084,-74.25999999999993,0.001574803114406706
2024-08-17T04:00:00,9,17-08 13,Irvington,Cell_2,40.720000000000084,-74.22999999999993,0.0011811023358050295
2024-08-17T04:00:00,9,17-08 13,Irvington,Cell_3,40.720000000000084,-74.19999999999993,0.0011811023358050295
2024-08-17T04:00:00,9,17-08 13,Irvington,Cell_4,40.750000000000085,-74.22999999999993,0.000787401557203353
2024-08-17T04:00:00,9,17-08 13,Irvington,Cell_5,40.750000000000085,-74.19999999999993,0.0003937007786016765
2024-08-17T04:00:00,10,17-08 14,Irvington,Cell_1,40.720000000000084,-74.25999999999993,0.0027559058168741663
